1,836,97
2,120,38
3,864,42
4,391,66
5,550,21
6,434,6
7,19,13
8,542,78
9,730,32
10,417,78
11,450,76
12,906,29
13,306,10
14,947,41
15,617,43
16,913,96
17,46,14
18,280,83
19,365,51
20,616,92
21,423,70
22,809,59
23,641,70
24,670,79
25,913,63
26,717,9
27,246,32
28,969,49
29,270,79
30,820,19
31,404,16
32,792,95
33,538,45
34,661,31
35,837,42
36,821,78
37,655,80
38,9,68
39,82,89
40,461,15
41,482,84
42,533,49
43,981,23
44,292,50
45,228,80
46,246,54
47,942,10
48,171,84
49,436,52
50,710,11
51,674,75
52,35,95
53,637,81
54,775,97
55,968,24
56,276,7
57,213,10
58,308,58
59,517,34
60,473,27
61,489,66
62,932,46
63,210,98
64,501,18
65,580,37
66,663,37
67,233,62
68,605,33
69,345,50
70,255,81
71,352,29
72,943,91
73,491,56
74,82,18
75,158,51
76,633,24
77,29,93
78,187,75
79,57,15
80,333,96
81,907,17
82,348,96
83,926,19
84,795,27
85,758,47
86,150,20
87,942,91
88,230,92
89,117,72
90,750,74
91,105,24
92,980,49
93,68,85
94,385,84
95,847,83
96,541,29
97,953,79
98,464,89
99,32,99
100,856,74
101,964,80
102,583,19
103,591,15
104,155,29
105,445,51
106,442,82
107,573,32
108,573,41
109,848,100
110,20,80
111,474,95
112,966,98
113,19,42
114,93,61
115,599,20
116,780,35
117,972,63
118,293,69
119,719,58
120,162,30
121,357,12
122,965,76
123,621,26
124,946,7
125,134,75
126,135,100
127,637,9
128,806,43
129,77,42
130,527,24
131,310,28
132,125,81
133,273,15
134,94,41
135,685,21
136,772,61
137,591,32
138,132,61
139,874,17
140,850,79
141,966,19
142,580,59
143,88,45
144,396,38
145,630,88
146,882,87
147,646,68
148,332,51
149,146,99
150,636,45
151,135,37
152,676,68
153,964,96
154,537,61
155,211,10
156,718,56
157,999,69
158,45,63
159,225,59
160,664,60
161,123,11
162,731,20
163,223,56
164,254,34
165,269,30
166,212,55
167,921,11
168,242,87
169,419,93
170,648,50
171,398,13
172,558,96
173,440,66
174,980,96
175,52,91
176,828,18
177,538,95
178,722,78
179,155,45
180,235,92
181,523,45
182,441,53
183,755,64
184,299,99
185,727,96
186,666,73
187,342,16
188,81,68
189,886,22
190,331,9
191,987,99
192,384,29
193,952,56
194,184,21
195,983,54
196,435,46
197,66,78
198,662,53
199,500,34
200,119,7
201,269,24
202,498,31
203,121,97
204,413,38
205,598,83
206,881,40
207,585,9
208,761,79
209,225,72
210,719,28
211,168,64
212,839,9
213,651,82
214,234,83
215,125,86
216,835,71
217,773,21
218,706,20
219,281,73
220,648,73
221,738,21
222,601,18
223,974,54
224,328,34
225,49,36
226,707,14
227,688,59
228,785,32
229,976,55
230,934,14
231,147,84
232,999,100
233,855,21
234,966,13
235,696,34
236,51,87
237,157,19
238,474,77
239,567,85
240,399,75
241,661,83
242,564,70
243,526,91
244,111,25
245,528,98
246,854,40
247,611,77
248,939,57
249,10,28
250,718,21
251,158,44
252,648,58
